Country Name,Country Code,Year,Access to electricity (% of population) - EG.ELC.ACCS.ZS,Adjusted net national income per capita (annual % growth) - NY.ADJ.NNTY.PC.KD.ZG,Adjusted savings: carbon dioxide damage (% of GNI) - NY.ADJ.DCO2.GN.ZS,Adjusted savings: natural resources depletion (% of GNI) - NY.ADJ.DRES.GN.ZS,Children out of school (% of primary school age) - SE.PRM.UNER.ZS,GDP per capita (current US$) - NY.GDP.PCAP.CD,Proportion of seats held by women in national parliaments (%) - SG.GEN.PARL.ZS,Renewable electricity output (% of total electricity output) - EG.ELC.RNEW.ZS,Women Business and the Law Index Score (scale 1-100) - SG.LAW.INDX,Prevalence of undernourishment (%) - SN_ITK_DEFC - 2.1.1,Proportion of population below international poverty line (%) - SI_POV_DAY1 - 1.1.1,Proportion of population using basic drinking water services (%) - SP_ACS_BSRVH2O - 1.4.1,Continent,Individuals using the Internet (% of population) - IT.NET.USER.ZS,"Life expectancy at birth, total (years) - SP.DYN.LE00.IN"
Argentina,ARG,2000,95.44536591,-2.069514863,0.953868911,1.890814825,0.431639999,7708.099115,26.45914397,33.15937465,65,,6.8,96,South America,,
Argentina,ARG,2001,95.51106347,-5.953193561,0.994073415,1.610813978,0.365260005,7208.373114,,41.82988404,65,3,10.7,97,South America,9.780807285,73.755
Argentina,ARG,2002,96.04728699,-12.42521388,2.709120427,4.929134846,0.328449994,2593.404563,30.73929961,43.56387577,65,3.8,16.9,97,South America,10.88212438,73.932
Argentina,ARG,2003,96.33463287,10.17494585,2.314807684,4.342118434,0.337709993,3349.8063,30.73929961,37.95175486,65,4.5,7.9,97,South America,11.91369655,74.107
Argentina,ARG,2004,96.61134338,-2.042500605,2.372699774,4.58413266,0.639660001,4277.721573,33.7254902,31.63480258,70,4,5.7,97,South America,16.03668411,74.28
Argentina,ARG,2005,96.87638855,6.378318335,2.138218017,5.474393874,0.441430002,5109.852245,36.18677043,33.52513485,70,3.7,4.2,97,South America,17.72058337,74.451
Argentina,ARG,2006,97.13230133,19.99196917,1.909845525,5.13247886,0.266629994,5919.012338,35.01945525,37.1276984,70,3.4,3.3,98,South America,20.9272021,74.62
Argentina,ARG,2007,97.38516998,11.27825379,1.608181851,4.106671391,0.128319994,7245.446857,40,29.84220081,70,3.3,2.6,98,South America,25.94663294,74.787
Argentina,ARG,2008,97.64122009,4.713559764,1.437027029,4.190772339,0.182769999,9020.873323,40,26.3437058,70,3.3,2.5,98,South America,28.11262348,74.952
Argentina,ARG,2009,97.90668488,-8.371095491,1.539381926,2.506856635,0.207190007,8225.137583,38.52140078,28.92740262,73.125,3.3,2.3,98,South America,34,75.116
Argentina,ARG,2010,98.82,10.62923859,1.311393961,2.673890058,0.603730023,10385.96443,38.52140078,28.5854562,73.125,3.4,1.4,98,South America,45,75.278
Argentina,ARG,2011,99.0802002,7.885776042,1.108688377,3.004909463,0.565900028,12848.8642,37.3540856,32.30597044,73.125,3.3,1.1,99,South America,51,75.439
Argentina,ARG,2012,99.22885895,-2.664752073,1.126369132,2.757541069,0.571759999,13082.66433,37.3540856,29.26113532,73.125,3.1,1.2,99,South America,55.8,75.598
Argentina,ARG,2013,99.35622406,0.864589653,1.161542797,2.413503982,0.408089995,13080.25473,36.57587549,31.48449072,73.125,2.8,1,99,South America,59.9,75.756
Argentina,ARG,2014,100,-4.501896117,1.279986673,2.173093065,0.09804,12334.79825,36.57587549,31.5762042,73.125,,0.9,99,South America,64.7,75.913
Argentina,ARG,2015,99.81168365,3.924541342,1.200385465,0.816273359,0.056299999,13789.06042,,28.14006912,73.125,,,,South America,68.04306411,76.068
Argentina,ARG,2016,99.95601654,-2.815488968,1.326118216,0.682088638,0.452389985,12790.24247,35.79766537,,73.125,2.6,1.1,,South America,70.96898082,76.221
Argentina,ARG,2017,100,4.58219842,1.230307803,0.845767442,0.432689995,14613.04182,38.13229572,,73.125,3.1,0.9,,South America,74.29490687,76.372
Argentina,ARG,2018,100,-3.1777836,1.572325947,1.659069943,,11633.49801,38.91050584,,76.25,3.5,1.4,,South America,,76.52
Australia,AUS,2000,100,,1.517743955,1.63833837,5.514689922,21679.24784,22.97297297,8.381618572,81.25,,,100,Oceania,,
Australia,AUS,2001,100,,1.71253001,1.389178596,1.696609974,19490.86111,,8.098454953,81.25,,0.7,100,Oceania,52.68926643,79.63414634
Australia,AUS,2002,100,,1.791276522,1.215138179,1.64873004,20082.48327,25.33333333,7.860918822,81.25,,,100,Oceania,,79.93658537
Australia,AUS,2003,100,,1.557887533,0.989072304,2.51609993,23447.031,25.33333333,8.440698866,81.25,,1,100,Oceania,,80.23902439
Australia,AUS,2004,100,,1.269231421,1.129504554,2.113049984,30430.67644,24.66666667,8.186650191,81.25,,0.5,100,Oceania,,80.4902439
Australia,AUS,2005,100,,1.217969003,1.991045356,1.351449966,33999.24286,24.66666667,8.803706639,81.25,,,100,Oceania,63,80.84146341
Australia,AUS,2006,100,,1.247177212,2.530367251,1.151759982,36044.92281,24.66666667,9.299307773,81.25,,,100,Oceania,66,81.04146341
Australia,AUS,2007,100,,1.173301507,3.070155146,0.99022001,40960.05449,26.66666667,8.648072467,81.25,,,100,Oceania,69.45,81.29268293
